District,margin12,PVI14,Incumbent,Incumbent Party,Challenger 1,Challenger 1 Party,Challenger 2,Challenger 2 Party,Challenger 3,Challenger 3 Party
01A,20.39,9.415101189,DAN FABIAN,R,BRUCE PATTERSON,DFL,,,,
01B,3.95,-3.842167034,DEBRA (DEB) KIEL,R,ERIC BERGESON,DFL,,,,
02A,-9.31,-4.387150035,ROGER ERICKSON,DFL,DAVE HANCOCK,R,,,,
02B,2,-0.116624542,STEVE GREEN,R,DAVID SOBIESKI,DFL,,,,
03A,-33.66,-34.34055348,DAVID DILL,DFL,ERIC JOHNSON,R,,,,
03B,-30,-28.58426059,MARY MURPHY,DFL,WADE K. FREMLING,R,,,,
04A,-9.77,8.796801838,BEN LIEN,DFL,BRIAN E. GRAMER,R,,,,
04B,-30.54,-33.15106326,PAUL MARQUART,DFL,JARED LADUKE,R,,,,
05A,-12.37,-7.937067071,JOHN PERSELL,DFL,PHILLIP NELSON,R,,,,
05B,-6.96,-4.249005146,TOM ANZELC,DFL,JUSTIN EICHORN,R,,,,
06A,-41.67,-38.31937863,CARLY MELIN,DFL,ROGER WEBER,R,,,,
06B,-36.46,-43.49018556,JASON METSA,DFL,MATT MATASICH,R,,,,
07A,-42.29,-36.25509914,,,JENNIFER SCHULTZ,DFL,BECKY HALL,R,KRISTINE OSBAKKEN,GP
07B,-40.68,-43.11551216,ERIK SIMONSON,DFL,TRAVIS SILVERS,R,,,,
08A,25.65,24.27931424,BUD NORNES,R,JIM MILTICH,DFL,,,,
08B,0.01,12.17229705,MARY FRANSON,R,JAY SIELING,DFL,,,,
09A,16.11,12.34058469,MARK ANDERSON,R,DAN BYE,DFL,,,,
09B,6.06,7.488355067,RON KRESHA,R,AL DOTY,DFL,,,,
10A,-14.1,-14.12174276,JOHN WARD,DFL,JOSHUA HEINTZEMAN,R,,,,
10B,-1.47,-4.351757483,JOE RADINOVICH,DFL,DALE K LUECK,R,,,,
11A,-33.83,-28.77451403,MIKE SUNDIN,DFL,TIM HAFVENSTEIN,R,,,,
11B,-2.66,-0.512959063,TIM FAUST,DFL,JASON RARICK,R,,,,
12A,-1.2,7.143330362,JAY MCNAMAR,DFL,JEFF BACKER,R,,,,
12B,32.71,46.33987329,PAUL ANDERSON,R,GORDON (GORDY) WAGNER,DFL,,,,
13A,18.28,-6.844607407,JEFF HOWE,R,EMILY JENSEN,DFL,,,,
13B,20.6,16.94062362,TIM O'DRISCOLL,R,,,,,,
14A,8.11,12.5516664,TAMA THEIS,R,DAN WOLGAMOTT,DFL,,,,
14B,-12.73,-12.61853235,"ZACHARY ""ZACH"" DORHOLT",DFL,JIM KNOBLACH,R,,,,
15A,4.81,5.042175735,SONDRA ERICKSON,R,JAMES RITTENOUR,DFL,,,,
15B,15.68,19.6789802,JIM NEWBERGER,R,BRIAN JOHNSON,DFL,,,,
16A,13.54,13.72734571,CHRIS SWEDZINSKI,R,LAURIE DRIESSEN,DFL,,,,
16B,23.83,35.15339244,PAUL TORKELSON,R,JAMES KANNE,DFL,,,,
17A,-7.87,-10.86434194,ANDREW FALK,DFL,TIM MILLER,R,,,,
17B,-4.17,-0.257265384,MARY SAWATZKY,DFL,DAVE BAKER,R,,,,
18A,16.73,27.10544223,DEAN URDAHL,R,STEVEN SCHIROO,DFL,,,,
18B,16.18,33.13813712,GLENN H. GRUENHAGEN,R,JOHN LIPKE,DFL,,,,
19A,-97.65,-48.1146334,CLARK JOHNSON,DFL,KIM SPEARS,R,,,,
19B,-28.14,-20.53596584,,,JACK CONSIDINE,DFL,DAVE KRUSE,R,,
20A,9.05,14.45198517,BOB VOGEL,R,THOMAS LOFGREN,DFL,,,,
20B,-13.92,-11.1631232,DAVID BLY,DFL,DAN MATEJCEK,R,,,,
21A,15.14,15.25447067,TIM KELLY,R,LYNN SCHOEN,DFL,,,,
21B,16.01,15.66432361,STEVE DRAZKOWSKI,R,M.A. SCHNEIDER,DFL,,,,
22A,18.13,16.18143457,JOE SCHOMACKER,R,DIANA SLYTER,DFL,,,,
22B,20.21,24.22656922,ROD HAMILTON,R,CHERYL AVENEL-NAVARA,DFL,,,,
23A,12.88,22.73803837,BOB GUNTHER,R,PAT BACON,DFL,,,,
23B,96.25,45.83915096,TONY CORNISH,R,,,,,,
24A,4.58,-11.3186459,JOHN PETERSBURG,R,BEVERLY CASHMAN,DFL,,,,
24B,-13.52,-8.445674244,PATTI FRITZ,DFL,BRIAN DANIELS,R,,,,
25A,9.21,12.49644065,DUANE QUAM,R,,,,,,
25B,-15.24,-12.01690507,KIM NORTON,DFL,,,,,,
26A,-17.83,-17.51468112,TINA LIEBLING,DFL,BREANNA BLY,R,,,,
26B,14.4,5.065255054,,,RICH WRIGHT,DFL,NELS T. PIERSON,R,,
27A,-3.2,-3.221256476,SHANNON SAVICK,DFL,PEGGY BENNETT,R,THOMAS KEITH PRICE,IP,,
27B,-25.66,-25.72807116,JEANNE POPPE,DFL,DENNIS SCHMINKE,R,,,,
28A,-33.6,-26.3955084,GENE P PELOWSKI JR,DFL,LYNAE HAHN,R,,,,
28B,16.8,13.71964978,GREGORY M. DAVIDS,R,JON PIEPER,DFL,,,,
29A,24.16,27.3973738,JOE MCDONALD,R,,,,,,
29B,7.89,12.60390999,MARION O'NEILL,R,,,,,,
30A,27.59,27.05971778,NICK ZERWAS,R,BRENDEN ELLINGBOE,DFL,,,,
30B,23.85,27.06864992,,,ERIC LUCERO,R,SHARON G. SHIMEK,DFL,,
31A,21,24.7672421,KURT DAUDT,R,,,,,,
31B,21.87,26.98719766,TOM HACKBARTH,R,JD HOLMQUIST,DFL,,,,
32A,7.24,7.92868776,BRIAN JOHNSON,R,PAUL GAMMEL,DFL,,,,
32B,1.87,4.617889846,BOB BARRETT,R,LAURIE J. WARNER,DFL,,,,
33A,24.28,32.72312183,JERRY HERTAUS,R,TODD MIKKELSON,DFL,,,,
33B,8.88,22.92171133,CINDY PUGH,R,PAUL ALEGI,DFL,,,,
34A,28.59,30.9067992,JOYCE PEPPIN,R,,,,,,
34B,9.16,11.26821466,,,DENNIS SMITH,R,DAVID B. HODEN,DFL,,
35A,25.4,30.16433595,,,PETER PEROVICH,DFL,ABIGAIL WHELAN,R,,
35B,18.32,20.41855553,PEGGY SCOTT,R,SAM BEARD,DFL,,,,
36A,2.17,-6.1949472,MARK W. UGLEM,R,JEFFERSON FIETEK,DFL,,,,
36B,-14.77,-9.403147364,MELISSA HORTMAN,DFL,PETER CREMA,R,,,,
37A,-14.54,-13.34325125,JERRY NEWTON,DFL,MANDY BENZ,R,,,,
37B,8,8.302376864,TIM SANDERS,R,SUSAN WITT,DFL,,,,
38A,16.15,14.8935426,LINDA RUNBECK,R,PAT DAVERN,DFL,,,,
38B,4.76,12.31075069,MATT DEAN,R,GREG M. PARISEAU,DFL,,,,
39A,14.96,22.08646393,BOB DETTMER,R,TIM STENDER,DFL,,,,
39B,6.1,4.856735191,KATHY LOHMER,R,TOM DEGREE,DFL,,,,
40A,-97.18,-49.16860915,MICHAEL NELSON,DFL,CHARLES (CHUCK) SUTPHEN,R,,,,
40B,-42.74,-32.57955847,DEBRA HILSTROM,DFL,MALI MARVIN,R,,,,
41A,-23.5,-19.62792406,CONNIE BERNARDY,DFL,JEFF PHILLIPS,R,,,,
41B,-30.73,-23.68230406,CAROLYN LAINE,DFL,CAMDEN PIKE,R,TIM UTZ,CP,,
42A,-6.74,-5.212494668,BARB YARUSSO,DFL,RANDY JESSUP,R,,,,
42B,-15.29,-17.25576571,"JASON ""IKE"" ISAACSON",DFL,HEIDI GUNDERSON,R,,,,
43A,-5.63,-6.226663421,PETER M FISCHER,DFL,STACEY STOUT,R,,,,
43B,-21.04,-23.07506828,LEON M. LILLIE,DFL,JUSTICE B. WHITETHORN,R,,,,
44A,2.57,13.0455666,SARAH ANDERSON,R,AUDREY BRITTON,DFL,,,,
44B,-11.79,-5.691491551,,,JON APPLEBAUM,DFL,RYAN RUTZICK,R,,
45A,-19.33,-15.7470442,LYNDON R. CARLSON,DFL,RICHARD LIEBERMAN,R,,,,
45B,-32.04,-27.41502056,MIKE FREIBERG,DFL,ALMA J. WETZKER,R,,,,
46A,-31.93,-27.69129055,RYAN WINKLER,DFL,TIMOTHY O. MANTHEY,R,,,,
46B,-40.17,-35.89340733,,,CHERYL YOUAKIM,DFL,BRYAN P. BJORNSON,R,,
47A,25.23,29.29162903,,,MATTHEW W. GIESEKE,DFL,JIM NASH,R,,
47B,97.15,67.87286528,JOE HOPPE,R,,,,,,
48A,-0.82,-2.040107947,YVONNE SELCER,DFL,KIRK STENSRUD,R,,,,
48B,17.95,23.00047957,JENIFER LOON,R,JOAN HOWE-PULLIS,DFL,,,,
49A,-11.72,-1.154977486,RON ERHARDT,DFL,DARIO ANSELMO,R,,,,
49B,-6.76,-3.211975607,PAUL ROSENTHAL,DFL,BARB SUTTER,R,,,,
50A,-31.86,-30.94002296,LINDA SLOCUM,DFL,DEAN MUMBLEAU,R,,,,
50B,-30.71,-27.79739366,ANN LENCZEWSKI,DFL,ZAVIER BICOTT,R,,,,
51A,-11.21,-4.796473124,SANDRA MASIN,DFL,ANDREA TODD-HARLIN,R,,,,
51B,-3.87,-0.709947338,LAURIE HALVERSON,DFL,JEN WILSON,R,,,,
52A,-25.09,-24.98394128,RICK HANSEN,DFL,JOE BLUM,R,,,,
52B,-32.17,-30.93878402,JOE ATKINS,DFL,DON LEE,R,,,,
53A,-12.54,-14.49891409,JOANN WARD,DFL,LUKAS CZECH,R,,,,
53B,9.78,4.676941894,,,KAY HENDRIKSON,DFL,KELLY FENTON,R,,
54A,-16.86,-9.267581735,DAN SCHOEN,DFL,MATTHEW KOWALSKI,R,,,,
54B,15.01,20.611784,DENNY MCNAMARA,R,DONALD SLATEN,DFL,,,,
55A,9.34,15.20080329,,,BOB LOONAN,R,JAY C. WHITING,DFL,DEREK THURY,IP
55B,26.91,28.6836615,TONY ALBRIGHT,R,KEVIN BURKART,DFL,JOSH D. ONDICH,IP,,
56A,8.05,10.60724223,,,DREW CHRISTENSEN,R,DAN KIMMEL,DFL,,
56B,-0.8,5.670417123,WILL MORGAN,DFL,ROZ PETERSON,R,,,,
57A,6.91,8.527259902,TARA MACK,R,BRUCE FOLKEN,DFL,,,,
57B,8.93,8.714352454,ANNA WILLS,R,DENISE PACKARD,DFL,,,,
58A,18.29,25.03739901,,,JON KOZNICK,R,AMY WILLINGHAM,DFL,,
58B,19.03,21.1710038,PAT GAROFALO,R,MARLA VAGTS,DFL,,,,
59A,-68.56,-64.22276754,JOE MULLERY,DFL,FRED STATEMA,R,,,,
59B,-53.45,-57.16103494,RAYMOND DEHN,DFL,MARGARET E. MARTIN,R,,,,
60A,-64.14,-60.61980367,DIANE LOEFFLER,DFL,BRENT MILLSOP,R,,,,
60B,-56.77,-49.23086595,PHYLLIS KAHN,DFL,ABDIMALIK ASKAR,R,,,,
61A,-59.12,-59.83468686,FRANK HORNSTEIN,DFL,FRANK TAYLOR,R,,,,
61B,-63.06,-59.63653551,PAUL THISSEN,DFL,TOM GALLAGHER,R,,,,
62A,-79.62,-75.00357064,KAREN CLARK,DFL,BRUCE LUNDEEN,R,YOLANDITA COLON,IP,,
62B,-77.55,-69.46866551,SUSAN ALLEN,DFL,JULIE HANSON,R,,,,
63A,-71.14,-69.15200508,JIM DAVNIE,DFL,KYLE BRAGG,R,,,,
63B,-53.08,-51.15082375,JEAN WAGENIUS,DFL,ANDRES HORTILLOSA,R,,,,
64A,-57.84,-58.06558719,ERIN MURPHY,DFL,ANDREW BROWN,R,,,,
64B,-44.51,-42.73616647,,,DANIEL SURMAN,R,DAVE PINTO,DFL,,
65A,-69.21,-64.13990372,RENA MORAN,DFL,ANTHONY MESCHKE,R,LENA BUGGS,GP,,
65B,-56.36,-51.43216975,CARLOS MARIANI,DFL,"ANTHONY ""TONY"" ATHEN",R,,,,
66A,-31.89,-28.37965252,ALICE HAUSMAN,DFL,JON HEYER,R,,,,
66B,-58.9,-52.75356953,JOHN LESCH,DFL,LIZZ PAULSON,R,,,,
67A,-56.13,-52.32372048,TIM MAHONEY,DFL,ANDREW LIVINGSTON,R,,,,
67B,-51.86,-45.79737131,SHELDON JOHNSON,DFL,JOHN T. QUINN,R,,,,
